Delivery,Bowler,Batsman,Runs,Commentary
19.6,Maxwell,Gaikwad, FOUR,"Maxwell to Gaikwad, FOUR, India finish with 222/3 in 20 overs! Gaikwad spanks this over deep mid-wicket and the fielder sprinting across only manages to get his hands to it, can't grab the ball though and India finish on a high"
19.5,Maxwell,Gaikwad, SIX,"Maxwell to Gaikwad, SIX, stays put and clubs this floated delivery over long-on for six more. Maxwell has no answers to this onslaught by Gaikwad"
19.4,Maxwell,Gaikwad, SIX,"Maxwell to Gaikwad, SIX, shimmies down the wicket and smokes this floated delivery over long-on for a maximum more. Insane hitting"
19.4,Maxwell,Gaikwad, wide,"Maxwell to Gaikwad, wide, fired down the leg-side, it's a wide ball"
19.3,Maxwell,Tilak Varma, 1 run,"Maxwell to Tilak Varma, 1 run, off an inside edge and off the pads towards the leg-side"
19.2,Maxwell,Gaikwad, 1 run,"Maxwell to Gaikwad, 1 run, into the slot and Gaikwad has heaved this towards deep mid-wicket on the bounce"
19.2,Maxwell,Gaikwad, no ball,"Maxwell to Gaikwad, no ball, FOUR, smashes this floated delivery right over the bowler's head and manages to beat long-off, but Maxwell has overstepped. Free-hit coming up!"
19.1,Maxwell,Gaikwad, SIX,"Maxwell to Gaikwad, SIX, maiden T20I century for Gaikwad! What a special moment as he takes off the helmet and celebrates it in style. Has a wide smile on his face too. Brings it up with a maximum over deep mid-wicket and Tilak walks up to him and congratulates him. Not for the first time have we seen him play such a knock. Has done this on several previous occasions in India's domestic circuit and in the Indian Premier League.."
18.6,Nathan Ellis,Tilak Varma, 2 runs,"Nathan Ellis to Tilak Varma, 2 runs, slashed over cover as it's a widish delivery, but it lands just in front of the fielder who was charging in from the deep"
18.5,Nathan Ellis,Tilak Varma, FOUR,"Nathan Ellis to Tilak Varma, FOUR, runs coming thick and fast from both the ends! A short ball by Nathan Ellis and Tilak Varma swivel-pulls this towards deep square leg as the ball almost goes the distance"
18.4,Nathan Ellis,Tilak Varma, 2 runs,"Nathan Ellis to Tilak Varma, 2 runs, scoops this short ball over the keeper's head for a couple of runs. Couldn't really middle it as there wasn't much pace on offer"
18.3,Nathan Ellis,Tilak Varma, no run,"Nathan Ellis to Tilak Varma, no run, slower bouncer outside off, Tilak Varma swings and misses, got deceived due to the lack of pace"
18.2,Nathan Ellis,Gaikwad, 1 run,"Nathan Ellis to Gaikwad, 1 run, opens the bat face and slices this towards backward point for one"
18.1,Nathan Ellis,Tilak Varma, 1 run,"Nathan Ellis to Tilak Varma, 1 run, good field placement as Tilak Varma whips it towards deep mid-wicket, nothing more than a single though"
18.1,Nathan Ellis,Tilak Varma, wide,"Nathan Ellis to Tilak Varma, wide, fired outside off, Tilak Varma can't reach for it, back-to-back wides"
18.1,Nathan Ellis,Tilak Varma, wide,"Nathan Ellis to Tilak Varma, wide, starts off with a wide, goes slow, but misses the tramline outside off"
17.6,Hardie,Gaikwad, 2 runs,"Hardie to Gaikwad, 2 runs, 25 runs from the over! Gaikwad goes down on his knee and swipes this towards deep mid-wicket, but the fielder stationed near the fence sprints across and stops it"
17.5,Hardie,Gaikwad, SIX,"Hardie to Gaikwad, SIX, excellent batting! Walks across in the crease and swipes this overpitched delivery over deep backward square leg. Into the 90s now!"
17.4,Hardie,Gaikwad, no run,"Hardie to Gaikwad, no run, looks to play across, but Hardie goes full and wide outside off"
17.3,Hardie,Gaikwad, FOUR,"Hardie to Gaikwad, FOUR, add four more to it. Hardie is proving to be really expensive in his last over. Goes full again and Gaikwad lofts it over the bowler's head and the lightning quick outfield is enough to fetch him a boundary. Plenty of changes in the field following that as the bowler seems to be under tremendous pressure"
17.2,Hardie,Gaikwad, SIX,"Hardie to Gaikwad, SIX, short and punished! Gets hold of this loosener and thumps it over deep mid-wicket for the second maximum of the over"
17.2,Hardie,Gaikwad, wide,"Hardie to Gaikwad, wide, Hardie goes wide outside off and it's missed the tramline. Wade wants a review for a wide, but it's not available in this format"
17.1,Hardie,Gaikwad, SIX,"Hardie to Gaikwad, SIX, spanked! Hardie goes full and straight outside off, Gaikwad stands tall and lofts it over long-off for a clean six. No need to run for those"
16.6,Behrendorff,Gaikwad, 1 run,"Behrendorff to Gaikwad, 1 run, end of a fantastic spell by Behrendorff. Can well prove to be a match defining one. Right into the blockhole and Gaikwad can only manage to dig it towards deep mid-on. A single to end Behrendorff's spell: 4-1-12-1"
16.5,Behrendorff,Tilak Varma, 1 run,"Behrendorff to Tilak Varma, 1 run, 111 kph, Tilak Varma swings across the line, gets an inside edge on to the pads. The ball rolls towards the leg-side for a single"
16.4,Behrendorff,Gaikwad, 1 run,"Behrendorff to Gaikwad, 1 run, back to a quicker delivery, Gaikwad gets a leading edge towards mid-off as he tries to play this across the line"
16.3,Behrendorff,Tilak Varma, 1 run,"Behrendorff to Tilak Varma, 1 run, another slower one around off, Tilak Varma eases it towards mid-off for one"
