input,Commentary
Maxwell Gaikwad  FOUR,"Maxwell to Gaikwad, FOUR, India finish with 222/3 in 20 overs! Gaikwad spanks this over deep mid-wicket and the fielder sprinting across only manages to get his hands to it, can't grab the ball though and India finish on a high"
Maxwell Gaikwad  SIX,"Maxwell to Gaikwad, SIX, stays put and clubs this floated delivery over long-on for six more. Maxwell has no answers to this onslaught by Gaikwad"
Maxwell Gaikwad  SIX,"Maxwell to Gaikwad, SIX, shimmies down the wicket and smokes this floated delivery over long-on for a maximum more. Insane hitting"
Maxwell Gaikwad  wide,"Maxwell to Gaikwad, wide, fired down the leg-side, it's a wide ball"
Maxwell Tilak Varma  1 run,"Maxwell to Tilak Varma, 1 run, off an inside edge and off the pads towards the leg-side"
Maxwell Gaikwad  1 run,"Maxwell to Gaikwad, 1 run, into the slot and Gaikwad has heaved this towards deep mid-wicket on the bounce"
Maxwell Gaikwad  no ball,"Maxwell to Gaikwad, no ball, FOUR, smashes this floated delivery right over the bowler's head and manages to beat long-off, but Maxwell has overstepped. Free-hit coming up!"
Maxwell Gaikwad  SIX,"Maxwell to Gaikwad, SIX, maiden T20I century for Gaikwad! What a special moment as he takes off the helmet and celebrates it in style. Has a wide smile on his face too. Brings it up with a maximum over deep mid-wicket and Tilak walks up to him and congratulates him. Not for the first time have we seen him play such a knock. Has done this on several previous occasions in India's domestic circuit and in the Indian Premier League.."
Nathan Ellis Tilak Varma  2 runs,"Nathan Ellis to Tilak Varma, 2 runs, slashed over cover as it's a widish delivery, but it lands just in front of the fielder who was charging in from the deep"
Nathan Ellis Tilak Varma  FOUR,"Nathan Ellis to Tilak Varma, FOUR, runs coming thick and fast from both the ends! A short ball by Nathan Ellis and Tilak Varma swivel-pulls this towards deep square leg as the ball almost goes the distance"
Nathan Ellis Tilak Varma  2 runs,"Nathan Ellis to Tilak Varma, 2 runs, scoops this short ball over the keeper's head for a couple of runs. Couldn't really middle it as there wasn't much pace on offer"
